ZipCode,NeighbourhoodID
10463,1
10471,1
10466,2
10469,2
10470,2
10475,2
10458,3
10467,3
10468,3
10461,4
10462,4
10464,4
10465,4
10472,4
10473,4
10453,5
10457,5
10460,5
10451,6
10452,6
10456,6
10454,7
10455,7
10459,7
10474,7
11211,8
11222,8
11201,9
11205,9
11215,9
11217,9
11231,9
11213,10
11212,10
11216,10
11233,10
11238,10
11207,11
11208,11
11220,12
11232,12
11204,13
11218,13
11219,13
11230,13
11203,14
11210,14
11225,14
11226,14
11234,15
11236,15
11239,15
11209,16
11214,16
11228,16
11223,17
11224,17
11229,17
11235,17
11206,18
11221,18
11237,18
10031,19
10032,19
10033,19
10034,19
10040,19
10026,20
10027,20
10030,20
10037,20
10039,20
10029,21
10035,21
10023,22
10024,22
10025,22
10021,23
10028,23
10044,23
10128,23
10001,24
10011,24
10018,24
10019,24
10020,24
10036,24
10010,25
10016,25
10017,25
10022,25
10012,26
10013,26
10014,26
10002,27
10003,27
10009,27
10004,28
10005,28
10006,28
10007,28
10038,28
10280,28
11101,29
11102,29
11103,29
11104,29
11105,29
11106,29
11368,30
11369,30
11370,30
11372,30
11373,30
11377,30
11378,30
11354,31
11355,31
11356,31
11357,31
11358,31
11359,31
11360,31
11361,32
11362,32
11363,32
11364,32
11374,33
11375,33
11379,33
11385,33
11365,34
11366,34
11367,34
11414,35
11415,35
11416,35
11417,35
11418,35
11419,35
11420,35
11421,35
11412,36
11423,36
11432,36
11433,36
11434,36
11435,36
11436,36
11004,37
11005,37
11411,37
11413,37
11422,37
11426,37
11427,37
11428,37
11429,37
11691,38
11692,38
11693,38
11694,38
11695,38
11697,38
10302,39
10303,39
10310,39
10301,40
10304,40
10305,40
10314,41
10306,42
10307,42
10308,42
10309,42
10312,42
0,9999
